iter	Passed	Remaining
0	70	70340
1	90	45332
2	99	33142
3	122	30566
4	129	25764
5	140	23226
6	141	20085
7	142	17726
8	144	15930
9	154	15308
10	160	14408
11	160	13223
12	177	13492
13	180	12733
14	182	11915	15	185	16	210	12180
17	21717	204	18	226	11686
19	233	11446
20	244	11397
21	245	10931
22	250	10654
23	254	10369
24	263	10262
25	265	9960
226	258	927	227	265	928	273	9156
29	29	296	9530	292	9153
31	294	8898
32	296	8675
33	297	8450
34	301	8305
35	309	8288
36	36	335	8737	37	343	8638	335	8262
39	343	8247
40	40	372	8741	41	381	8698
42	390	8697
43	403	8758
44	413	8774
45	415	8623
46	426	8641
47	434	8615
48	444	8624
49	455	8648
50	460	8570
51	471	8590
52	480	8580
53	493	8640
54	506	8708
55	518	8734
56	523	8653
57	526	8551
58	544	8682
59	546	8569
60	549	8464
61	556	8416
62	566	8425
63	572	8375
64	574	8270
65	581	8222
66	598	8339
67	602	8262
68	607	8194
69	613	8152
70	618	8088
71	624	8047
72	630	8006
73	634	7939
74	646	7979
75	653	7945
76	665	7972
77	671	7932
78	680	7936
79	690	7941
80	701	7958
81	708	7930
82	725	8014
83	733	7994
84	739	7961
85	746	7929
86	752	7897
87	759	7873
88	762	7808
89	765	7736
90	766	7656
91	770	7603
92	772	7529
93	773	7454
94	774	7379
95	777	7322
96	779	7259
97	784	7221
98	785	7152
99	792	7132
1100	790	7037
101	792	6977102	807	7031
103	814	7021
104	818	6976
105	834	7035
106	840	7016
107	850	7024
108	856	6999
109	869	7032
110	876	7019
111	882	6996
112	896	7037
113	898	6985
114	903	6951
115	905	6903
1116	900	6793117	919	6874
1118	909	67361119	915	67141120	927	67361121	934	67261122	960	6851
123	965	6821
124	974	6821
125	987	6848
126	989	6803
127	1001	6825
128	1019	6886
129	1033	6916
130	1047	6951
131	1052	6923
132	1054	6874
133	1067	6899
134	1082	6932
135	1088	6917
136	1097	6910
137	1112	6948
138	1118	6926
139	1128	6931
140	1133	6907
141	1136	6867
142	1142	6846
143	1147	6824
144	1156	6817
145	1158	6778
146	1173	6809
147	1180	6794
148	1187	6782
149	1188	6737
150	1192	6704
151	1201	6705
152	1217	6742
153	1228	6748
154	1240	6763
155	1250	6766
156	1262	6776
157	1269	6762
158	1270	6721
159	1287	6760
160	1296	6757
161	1307	6763
162	1310	6728
163	1312	6688
164	1313	6648
165	1315	6609
166	1320	6587
